,query,text,roberta_answer,roberta_score,bert_answer,bert_score,is_different
200,when did tangerine dream start,"Tangerine Dream are a German electronic music group founded in 1967 by Edgar Froese. The band underwent many personnel changes over the years, with Froese being the only continuous member. Drummer and composer Klaus Schulze was briefly a member of an early lineup. The most stable version of the group, during their influential mid-1970s period, was as a trio with Froese, Christopher Franke and Peter Baumann.",1967,0.9635307788848877,1967,0.9929333925247192,False
263,what year did pink floyd dark side of the moon come out,"The Dark Side of the Moon is the eighth studio album by the English progressive rock band Pink Floyd, released on 1 March 1973. It built on ideas explored in the band's earlier recordings and live shows, but lacks the extended instrumental excursions that characterised their work following the departure in 1968 of founder member, principal composer, and lyricist, Syd Barrett.",1973,0.9313293695449829,1973,0.992172360420227,False
13,who directed beautiful girls,"Beautiful Girls is a 1996 American romantic comedy-drama film directed by Ted Demme from a screenplay written by Scott Rosenberg, starring Matt Dillon, Lauren Holly, Timothy Hutton, Rosie O'Donnell, Martha Plimpton, Natalie Portman, Michael Rapaport, Mira Sorvino and Uma Thurman.",Ted Demme,0.9887960288469912,Ted Demme,0.9917658834237955,False
884,who wrote english patient,"The English Patient is a 1992 Booker Prize-winning novel by Michael Ondaatje. The book follows four dissimilar people brought together at an Italian villa during the Italian Campaign of World War II. The four main characters are: an unrecognisably burned man—the titular patient, presumed to be English; his Canadian Army nurse, a Sikh British Army sapper, and a Canadian thief.",Michael Ondaatje,0.9563615893785027,Michael Ondaatje,0.9908561546180863,False
384,when was the queen of the damned published,The Queen of the Damned (1988) is the third novel of Anne Rice's The Vampire Chronicles series.  It follows Interview with the Vampire and The Vampire Lestat.,1988,0.9122350811958313,1988,0.990350067615509,False
430,when did project mogul start,"Project Mogul (sometimes referred to as Operation Mogul) was a top secret project by the US Army Air Forces involving microphones flown on high-altitude balloons, whose primary purpose was long-distance detection of sound waves generated by Soviet atomic bomb tests. The project was carried out from 1947 until early 1949.",1947,0.41607916355133057,1947,0.9900625944137573,False
213,what is the sixth transatlantic telephone cable,TAT-6 was the sixth transatlantic telephone cable.,TAT-6,0.9920171166304499,TAT-6,0.9896120008197613,False
94,what day of the week does mccxlix start,Year 1249 (MCCXLIX) was a common year starting on Friday (link will display the full calendar) of the Julian calendar.,Friday,0.8919132351875305,Friday,0.9886534214019775,False
202,who is the author of the great hunt,"The Great Hunt (abbreviated as tGH by fans) is the second book of The Wheel of Time fantasy series written by American author Robert Jordan. It was published by Tor Books and released on November 15, 1990. The Great Hunt consists of a prologue and 50 chapters.",Robert Jordan,0.9759820699691772,Robert Jordan,0.9878818988800049,False
100,what day was year 1243?,Year 1243 (MCCXLIII) was a common year starting on Thursday (link will display the full calendar) of the Julian calendar.,Thursday,0.9354528784751892,Thursday,0.9878750443458557,False
480,what books did toni morrison write,"Toni Morrison (born Chloe Ardelia Wofford; February 18, 1931) is an American novelist, editor, and professor. Her novels are known for their epic themes, vivid dialogue, and richly detailed characters. Among her best known novels are The Bluest Eye (1970), Sula (1973), Song of Solomon (1977), and Beloved (1987). She was also commissioned to write the libretto for a new opera, Margaret Garner, first performed in 2005.","The Bluest Eye (1970),",0.002845593262463808,"Song of Solomon (1977), and Beloved (1987)",0.0007580333040095866,True
682,where is sywell aerodrome,"Sywell Aerodrome (IATA: ORM, ICAO: EGBK) is the local aerodrome serving the town of Northampton, Wellingborough, Kettering and Rushden, as well as wider Northamptonshire. The aerodrome is located 5 nautical miles (9.3 km; 5.8 mi) northeast of Northampton and was originally opened in 1928 on the edge of Sywell village.The aerodrome caters for private flying, flight training and corporate flights. There is one fixed-wing flying school, one microlight school and a helicopter school.",on the edge of Sywell village,0.02836775593459606,on the edge of Sywell village,0.009297734126448631,False
145,what is the etching process,"Etching is traditionally the process of using strong acid or mordant to cut into the unprotected parts of a metal surface to create a design in intaglio (relief) in the metal. In modern manufacturing, other chemicals may be used on other types of material. As a method of printmaking, it is, along with engraving, the most important technique for old master prints, and remains in wide use today.",using strong acid or mordant,0.05548115074634552,using strong acid or mordant,0.009382179006934166,False
352,detection of communications definition,"In general, detection is the extraction of particular information from a larger stream of information without specific cooperation from or synchronization with the sender.In the history of radio communications, the term ""detector"" was first used for a device that detected the simple presence or absence of a radio signal, since all communications were in Morse code.",all communications were in Morse code,0.05002056807279587,without specific cooperation from or synchronization with the sender,0.010696396231651306,True
425,who were the original members of blur,"Blur are an English rock band, formed in London in 1988. The group consists of singer/keyboardist Damon Albarn, guitarist/singer Graham Coxon, bassist Alex James and drummer Dave Rowntree. Their debut album Leisure (1991) incorporated the sounds of Madchester and shoegazing. Following a stylistic change influenced by English guitar pop groups such as the Kinks, the Beatles and XTC, Blur released Modern Life Is Rubbish (1993), Parklife (1994) and The Great Escape (1995).","Graham Coxon, bassist Alex James and drummer Dave Rowntree",0.008116360753774643,"Graham Coxon, bassist Alex James and drummer Dave Rowntree",0.011064285412430763,False
61,what is a cable in electrical power,"An electrical cable comprises two or more wires running side by side and bonded, twisted, or braided together to form a single assembly, the ends of which can be connected to two devices, enabling the transfer of electrical signals from one device to the other. Cables are used for a wide range of purposes, and each must be tailored for that purpose. Cables are used extensively in electronic devices for power and signal circuits. Long-distance communication takes place over undersea cables.",two or more wires running side by side,0.017425529658794403,An electrical cable comprises two or more wires running side by side,0.01248296070843935,True
152,which part of the gulf of guinea contains the gulf of guinea,"The Gulf of Guinea is the northeasternmost part of the tropical Atlantic Ocean between Cape Lopez in Gabon, north and west to Cape Three Points in Western region Ghana. The intersection of the Equator and Prime Meridian (zero degrees latitude and longitude) is in the gulf.Among the many rivers that drain into the Gulf of Guinea are the Niger and the Volta.",northeasternmost,0.12407350167632103,the northeasternmost part,0.012595186941325665,True
234,what is the upper and lower bounds in mathematics,"In mathematics,  especially in order theory, an upper bound of a subset S of some partially ordered set (K, ≤) is an element of K which is greater than or equal to every element of S. The term lower bound is defined dually as an element of K which is less than or equal to every element of S. A set with a upper bound is said to be bounded from above by that bound, a set with a lower bound is said to be bounded from below by that bound.",an element of K which is greater than or equal to every element of S,0.08922627568244934,an upper bound of a subset S of some partially ordered set,0.013088657520711422,True
857,captains courageous author,"Captains Courageous is an 1897 novel, by Rudyard Kipling, that follows the adventures of fifteen-year-old Harvey Cheyne Jr., the spoiled son of a railroad tycoon, after he is saved from drowning by a Portuguese fisherman in the north Atlantic. The novel originally appeared as a serialisation in McClure's, beginning with the November 1896 edition.The book's title comes from the ballad ""Mary Ambree"", which starts, ""When captains courageous, whom death could not daunt"".",Rudyard Kipling,0.0915011316537857,Captains Courageous,0.014752229675650597,True
852,tribute in light lighting,"The Tribute in Light is an art installation of 88 searchlights placed next to the site of the World Trade Center to create two vertical columns of light in remembrance of the September 11 attacks. It is produced annually by the Municipal Art Society of New York. The two beams cost approximately $1,626 (assuming $0.11 kWh) to run for 24 hours. There are 88 xenon spotlights (44 for each tower) which each consume 7,000 watts.",88 searchlights placed next to the site of the World Trade Center,0.002177923684939742,The Tribute in Light,0.016012489795684814,True
0,define cost accounting,"Cost accounting is a process of collecting, analyzing, summarizing and evaluating various alternative courses of action. Its goal is to advise the management on the most appropriate course of action based on the cost efficiency and capability.","collecting, analyzing, summarizing and evaluating various alternative courses of action",0.030179783701896667,Cost accounting,0.05923832952976227,True
1,inter mirifica definition,"Inter mirifica ""\The Means of Social Communication"") is a decree made by the council at Vatican II and it was promulgated on December 4, 1963  by Pope Paul VI. It is composed of 24 points, with the aim of addressing the concerns and problems of social communication. Inter mirifica identifies social communication as the press, cinema, television, and other similar types of communication interfaces.",The Means of Social Communication,0.05344554781913757,"Inter mirifica ""\The Means of Social Communication",0.021667206659913063,True
2,what is freddy mercury's name,"Freddie Mercury (5 September 1946 – 24 November 1991) was a British singer, songwriter and producer, best known as the lead vocalist and songwriter of the rock band Queen. As a performer, he was known for his flamboyant stage persona and powerful vocals over a four-octave range.","British singer, songwriter and producer",0.07394208759069443,"a British singer, songwriter and producer",0.10224218666553497,True
