_id,title,text,query
<dbpedia:Cost_accounting>,Cost accounting,"Cost accounting is a process of collecting, analyzing, summarizing and evaluating various alternative courses of action. Its goal is to advise the management on the most appropriate course of action based on the cost efficiency and capability.",define cost accounting
<dbpedia:Inter_mirifica>,Inter mirifica,"Inter mirifica ""\The Means of Social Communication"") is a decree made by the council at Vatican II and it was promulgated on December 4, 1963  by Pope Paul VI. It is composed of 24 points, with the aim of addressing the concerns and problems of social communication. Inter mirifica identifies social communication as the press, cinema, television, and other similar types of communication interfaces.",inter mirifica definition
<dbpedia:Freddie_Mercury>,Freddie Mercury,"Freddie Mercury (5 September 1946 – 24 November 1991) was a British singer, songwriter and producer, best known as the lead vocalist and songwriter of the rock band Queen. As a performer, he was known for his flamboyant stage persona and powerful vocals over a four-octave range.",what is freddy mercury's name
<dbpedia:Fence>,Fence,"A fence is a structure that encloses an area, typically outdoors, and is usually constructed from posts that are connected by boards, wire, rails or netting. A fence differs from a wall in not having a solid foundation along its whole length.Alternatives to fencing include a ditch (sometimes filled with water, forming a moat).",what is a fence
<dbpedia:Data_mining>,Data mining,"Data mining (the analysis step of the ""Knowledge Discovery in Databases"" process, or KDD), an interdisciplinary subfield of computer science, is the computational process of discovering patterns in large data sets (""big data"") involving methods at the intersection of artificial intelligence, machine learning, statistics, and database systems. The overall goal of the data mining process is to extract information from a data set and transform it into an understandable structure for further use.",what does mining mean
<dbpedia:Zhores_Alferov>,Zhores Alferov,"Zhores Ivanovich Alferov (Russian: Жоре́с Ива́нович Алфёров, [ʐɐˈrʲɛs ɪˈvanəvʲɪtɕ ɐlˈfʲɵrəf]; Belarusian: Жарэс Іва́навіч Алфёраў; born March 15, 1930) is a Belarusian, Soviet and Russian physicist and academic who contributed  significantly to the creation of modern heterostructure physics and electronics. He is the inventor of the heterotransistor and the winner of 2000 Nobel Prize in Physics.",who is zhores alferov
<dbpedia:Charles_M._Schulz>,Charles M. Schulz,"Charles Monroe Schulz (November 26, 1922 – February 12, 2000), nicknamed Sparky, was an American cartoonist, best known for the comic strip Peanuts (which featured the characters Snoopy and Charlie Brown, among others). He is widely regarded as one of the most influential cartoonists of all time, cited as a major influence by many later cartoonists.",what cartoon did sparky win hat made
<dbpedia:Potassium_ferrocyanide>,Potassium ferrocyanide,Potassium ferrocyanide is the inorganic compound with formula K4[Fe(CN)6] · 3H2O. It is the potassium salt of the coordination complex [Fe(CN)6]4−. This salt forms lemon-yellow monoclinic crystals.,what is the formula for potassium ferrocyanide
<dbpedia:Management_accounting>,Management accounting,"In Management accounting or managerial accounting, managers use the provisions of accounting information in order to better inform themselves before they decide matters within their organizations, which aids their management and performance of control functions.",what is a managerial accounting
<dbpedia:Aryan_race>,Aryan race,The Aryan race was a racial grouping commonly used in the period of the late 19th century to the mid 20th century to describe peoples of European and Western Asian heritage.,what was the aryan race?
<dbpedia:Century_of_Progress>,Century of Progress,"A Century of Progress International Exposition was a World's Fair held in Chicago, as The Chicago World's Fair, from 1933 to 1934 to celebrate the city's centennial. The theme of the fair was technological innovation. The fair's motto was ""Science Finds, Industry Applies, Man Adapts""; its architectural symbol was the Sky Ride, a transporter bridge perpendicular to the shore on which one could ride from one side of the fair to the other.",what was the century of progress theme
<dbpedia:Closure_(topology)>,Closure (topology),"In mathematics, the closure of a subset S in a topological space consists of all points in S plus the limit points of S. The closure of S is also defined as the union of S and its boundary. Intuitively, these are all the points in S and ""near"" S. A point which is in the closure of S is a point of closure of S. The notion of closure is in many ways dual to the notion of interior.",what is closed topological space
<dbpedia:Peanuts>,Peanuts,"Peanuts is a syndicated daily and Sunday American comic strip written and illustrated by Charles M. Schulz, which ran from October 2, 1950, to February 13, 2000, continuing in reruns afterward. The strip is one of the most popular and influential in the history of comic strips, with 17,897 strips published in all, making it ""arguably the longest story ever told by one human being"".",what year was peanuts
<dbpedia:Beautiful_Girls_(film)>,Beautiful Girls (film),"Beautiful Girls is a 1996 American romantic comedy-drama film directed by Ted Demme from a screenplay written by Scott Rosenberg, starring Matt Dillon, Lauren Holly, Timothy Hutton, Rosie O'Donnell, Martha Plimpton, Natalie Portman, Michael Rapaport, Mira Sorvino and Uma Thurman.",who directed beautiful girls
<dbpedia:Dignitatis_humanae>,Dignitatis humanae,"Dignitatis humanae (Latin: Of the Dignity of the Human Person) is the Second Vatican Council's Declaration on Religious Freedom. In the context of the Council's stated intention “to develop the doctrine of recent popes on the inviolable rights of the human person and the constitutional order of society”, Dignitatis humanae spells out the Church's support for the protection of religious liberty.",dignitatis humanae definition
<dbpedia:Aston_Villa_F.C.>,Aston Villa F.C.,"Aston Villa Football Club (/ˈæstən ˈvɪllə/; also known as Villa, The Villa, The Villans, The Lions) is a professional football club based in Witton, Birmingham, that plays in the Premier League, the highest level of English football. Founded in 1874, it has played at its current home ground, Villa Park, since 1897. Aston Villa was one of the originators and founder members of the Football League in 1888.",where does aston villa play football
